"","time","lwp","cth","trel"
"409",41236,22.0527629852295,1900,-0.545555555555556
"410",41240,4.64091873168945,1870,-0.544444444444444
"411",41244,4.64091873168945,1840,-0.543333333333333
"412",41248,4.64091873168945,1840,-0.542222222222222
"413",41252,4.64091873168945,1840,-0.541111111111111
"414",41256,4.64091873168945,1870,-0.54
"415",41260,4.64091873168945,1870,-0.538888888888889
"416",41264,28.4745845794678,1900,-0.537777777777778
"417",41268,28.4745845794678,1930,-0.536666666666667
"418",41272,28.4745845794678,1930,-0.535555555555556
"419",41276,28.4745845794678,1930,-0.534444444444444
"420",41280,28.4745845794678,1930,-0.533333333333333
"421",41284,28.4745845794678,1930,-0.532222222222222
"422",41288,42.0157051086426,1900,-0.531111111111111
"423",41292,42.0157051086426,1900,-0.53
"424",41296,42.0157051086426,1900,-0.528888888888889
"425",41300,42.0157051086426,1900,-0.527777777777778
"426",41304,42.0157051086426,1900,-0.526666666666667
"427",41308,42.0157051086426,1930,-0.525555555555556
"428",41312,63.1975593566895,1930,-0.524444444444444
"429",41316,63.1975593566895,1930,-0.523333333333333
"430",41320,63.1975593566895,1960,-0.522222222222222
"431",41324,63.1975593566895,1960,-0.521111111111111
"432",41328,63.1975593566895,1960,-0.52
"433",41332,63.1975593566895,1960,-0.518888888888889
"434",41336,63.1975593566895,1960,-0.517777777777778
"435",41340,65.4810180664062,1960,-0.516666666666667
"436",41344,65.4810180664062,1960,-0.515555555555556
"437",41348,65.4810180664062,1960,-0.514444444444444
"438",41352,65.4810180664062,1960,-0.513333333333333
"439",41356,65.4810180664062,1960,-0.512222222222222
"440",41360,65.4810180664062,1960,-0.511111111111111
"441",41364,56.8647537231445,1960,-0.51
"442",41368,56.8647537231445,1960,-0.508888888888889
"443",41372,56.8647537231445,1960,-0.507777777777778
"444",41376,56.8647537231445,1960,-0.506666666666667
"445",41380,56.8647537231445,1960,-0.505555555555556
"446",41384,56.8647537231445,1990,-0.504444444444444
"447",41388,73.2941207885742,1990,-0.503333333333333
"448",41392,73.2941207885742,1990,-0.502222222222222
"449",41396,73.2941207885742,1990,-0.501111111111111
"450",41400,73.2941207885742,1990,-0.5
"451",41404,73.2941207885742,1990,-0.498888888888889
"452",41408,73.2941207885742,1960,-0.497777777777778
"453",41412,73.2941207885742,1960,-0.496666666666667
"454",41416,59.584789276123,1960,-0.495555555555556
"455",41420,59.584789276123,1960,-0.494444444444444
"456",41424,59.584789276123,1960,-0.493333333333333
"457",41428,59.584789276123,1960,-0.492222222222222
"458",41432,59.584789276123,1960,-0.491111111111111
"459",41436,59.584789276123,1960,-0.49
"460",41440,54.8614959716797,1960,-0.488888888888889
"461",41444,54.8614959716797,1960,-0.487777777777778
"462",41448,54.8614959716797,1960,-0.486666666666667
"463",41452,54.8614959716797,1960,-0.485555555555556
"464",41456,54.8614959716797,1960,-0.484444444444444
"465",41460,54.8614959716797,1960,-0.483333333333333
"466",41464,42.4130363464355,1930,-0.482222222222222
"467",41468,42.4130363464355,1930,-0.481111111111111
"468",41472,42.4130363464355,1930,-0.48
"469",41476,42.4130363464355,1930,-0.478888888888889
"470",41480,42.4130363464355,1930,-0.477777777777778
"471",41484,42.4130363464355,1930,-0.476666666666667
"472",41488,28.868200302124,1930,-0.475555555555556
"473",41492,28.868200302124,1930,-0.474444444444444
"474",41496,28.868200302124,1930,-0.473333333333333
"475",41500,28.868200302124,1930,-0.472222222222222
"476",41504,28.868200302124,1930,-0.471111111111111
"477",41508,28.868200302124,1930,-0.47
"478",41512,28.868200302124,1930,-0.468888888888889
"479",41516,54.4097480773926,1930,-0.467777777777778
"480",41520,54.4097480773926,1930,-0.466666666666667
"481",41524,54.4097480773926,1960,-0.465555555555556
"482",41528,54.4097480773926,1960,-0.464444444444444
"483",41532,54.4097480773926,1960,-0.463333333333333
"484",41536,54.4097480773926,1990,-0.462222222222222
"485",41540,61.4759826660156,1990,-0.461111111111111
"486",41544,61.4759826660156,1990,-0.46
"487",41548,61.4759826660156,1990,-0.458888888888889
"488",41552,61.4759826660156,1990,-0.457777777777778
"489",41556,61.4759826660156,1990,-0.456666666666667
"490",41560,61.4759826660156,1990,-0.455555555555556
"491",41564,73.89990234375,1990,-0.454444444444444
"492",41568,73.89990234375,1960,-0.453333333333333
"493",41572,73.89990234375,1960,-0.452222222222222
"494",41576,73.89990234375,1960,-0.451111111111111
"495",41580,73.89990234375,1930,-0.45
"496",41584,73.89990234375,1930,-0.448888888888889
"497",41588,86.6412506103516,1930,-0.447777777777778
"498",41592,86.6412506103516,1930,-0.446666666666667
"499",41596,86.6412506103516,1930,-0.445555555555556
"500",41600,86.6412506103516,1960,-0.444444444444444
"501",41604,86.6412506103516,1960,-0.443333333333333
"502",41608,86.6412506103516,1960,-0.442222222222222
"503",41612,86.6412506103516,1960,-0.441111111111111
"504",41616,110.664817810059,1960,-0.44
"505",41620,110.664817810059,1990,-0.438888888888889
"506",41624,110.664817810059,1990,-0.437777777777778
"507",41628,110.664817810059,1960,-0.436666666666667
"508",41632,110.664817810059,1960,-0.435555555555556
"509",41636,110.664817810059,1960,-0.434444444444444
"510",41640,93.8428192138672,1960,-0.433333333333333
"511",41644,93.8428192138672,1930,-0.432222222222222
"512",41648,93.8428192138672,1930,-0.431111111111111
"513",41652,93.8428192138672,1930,-0.43
"514",41656,93.8428192138672,1930,-0.428888888888889
"515",41660,93.8428192138672,1960,-0.427777777777778
"516",41664,114.75902557373,1960,-0.426666666666667
"517",41668,114.75902557373,1960,-0.425555555555556
"518",41672,114.75902557373,1960,-0.424444444444444
"519",41676,114.75902557373,1990,-0.423333333333333
"520",41680,114.75902557373,1990,-0.422222222222222
"521",41684,114.75902557373,1990,-0.421111111111111
"522",41688,114.75902557373,1990,-0.42
"523",41692,178.237243652344,1990,-0.418888888888889
"524",41696,178.237243652344,1990,-0.417777777777778
"525",41700,178.237243652344,1990,-0.416666666666667
"526",41704,178.237243652344,1990,-0.415555555555556
"527",41708,178.237243652344,1990,-0.414444444444444
"528",41712,178.237243652344,1990,-0.413333333333333
"529",41716,189.851745605469,1990,-0.412222222222222
"530",41720,189.851745605469,1990,-0.411111111111111
"531",41724,189.851745605469,1990,-0.41
"532",41728,189.851745605469,1990,-0.408888888888889
"533",41732,189.851745605469,1960,-0.407777777777778
"534",41736,189.851745605469,1960,-0.406666666666667
"535",41740,207.236175537109,1960,-0.405555555555556
"536",41744,207.236175537109,1960,-0.404444444444444
"537",41748,207.236175537109,1990,-0.403333333333333
"538",41752,207.236175537109,1990,-0.402222222222222
"539",41756,207.236175537109,1990,-0.401111111111111
"540",41760,207.236175537109,1990,-0.4
"541",41764,234.089645385742,1990,-0.398888888888889
"542",41768,234.089645385742,1990,-0.397777777777778
"543",41772,234.089645385742,1990,-0.396666666666667
"544",41776,234.089645385742,1990,-0.395555555555556
"545",41780,234.089645385742,1990,-0.394444444444444
"546",41784,234.089645385742,1990,-0.393333333333333
"547",41788,234.089645385742,1990,-0.392222222222222
"548",41792,261.098388671875,2020,-0.391111111111111
"549",41796,261.098388671875,2020,-0.39
"550",41800,261.098388671875,2020,-0.388888888888889
"551",41804,261.098388671875,2020,-0.387777777777778
"552",41808,261.098388671875,2050,-0.386666666666667
"553",41812,261.098388671875,2050,-0.385555555555556
"554",41816,264.438415527344,2050,-0.384444444444444
"555",41820,264.438415527344,2050,-0.383333333333333
"556",41824,264.438415527344,2020,-0.382222222222222
"557",41828,264.438415527344,2020,-0.381111111111111
"558",41832,264.438415527344,2020,-0.38
"559",41836,264.438415527344,2020,-0.378888888888889
"560",41840,222.973007202148,2020,-0.377777777777778
"561",41844,222.973007202148,2020,-0.376666666666667
"562",41848,222.973007202148,2020,-0.375555555555556
"563",41852,222.973007202148,2020,-0.374444444444444
"564",41856,222.973007202148,2020,-0.373333333333333
"565",41860,222.973007202148,2020,-0.372222222222222
"566",41864,222.973007202148,2020,-0.371111111111111
"567",41868,212.160171508789,2020,-0.37
"568",41872,212.160171508789,2020,-0.368888888888889
"569",41876,212.160171508789,2020,-0.367777777777778
"570",41880,212.160171508789,2020,-0.366666666666667
"571",41884,212.160171508789,2020,-0.365555555555556
"572",41888,212.160171508789,2020,-0.364444444444444
"573",41892,211.86491394043,2020,-0.363333333333333
"574",41896,211.86491394043,2020,-0.362222222222222
"575",41900,211.86491394043,1990,-0.361111111111111
"576",41904,211.86491394043,1990,-0.36
"577",41908,211.86491394043,1990,-0.358888888888889
"578",41912,211.86491394043,1990,-0.357777777777778
"579",41916,235.357666015625,1990,-0.356666666666667
"580",41920,235.357666015625,1990,-0.355555555555556
"581",41924,235.357666015625,1990,-0.354444444444444
"582",41928,235.357666015625,2020,-0.353333333333333
"583",41932,235.357666015625,2020,-0.352222222222222
"584",41936,235.357666015625,2020,-0.351111111111111
"585",41940,191.952880859375,2020,-0.35
"586",41944,191.952880859375,2020,-0.348888888888889
"587",41948,191.952880859375,2020,-0.347777777777778
"588",41952,191.952880859375,2020,-0.346666666666667
"589",41956,191.952880859375,2020,-0.345555555555556
"590",41960,191.952880859375,2020,-0.344444444444444
"591",41964,191.952880859375,2020,-0.343333333333333
"592",41968,205.793762207031,2020,-0.342222222222222
"593",41972,205.793762207031,2020,-0.341111111111111
"594",41976,205.793762207031,2020,-0.34
"595",41980,205.793762207031,2020,-0.338888888888889
"596",41984,205.793762207031,2020,-0.337777777777778
"597",41988,205.793762207031,2020,-0.336666666666667
"598",41992,144.37109375,1990,-0.335555555555556
"599",41996,144.37109375,1990,-0.334444444444444
"600",42000,144.37109375,1990,-0.333333333333333
"601",42004,144.37109375,1990,-0.332222222222222
"602",42008,144.37109375,1990,-0.331111111111111
"603",42012,144.37109375,1990,-0.33
"604",42016,134.511108398438,2020,-0.328888888888889
"605",42020,134.511108398438,2020,-0.327777777777778
"606",42024,134.511108398438,2020,-0.326666666666667
"607",42028,134.511108398438,1990,-0.325555555555556
"608",42032,134.511108398438,1990,-0.324444444444444
"609",42036,134.511108398438,1990,-0.323333333333333
"610",42040,134.511108398438,1960,-0.322222222222222
"611",42044,120.992523193359,1960,-0.321111111111111
"612",42048,120.992523193359,1960,-0.32
"613",42052,120.992523193359,1930,-0.318888888888889
"614",42056,120.992523193359,1930,-0.317777777777778
