"","time","lwp","trel"
"130",42860,112.347358703613,-0.0944444444444444
"131",42880,112.157890319824,-0.0888888888888889
"132",42911,111.547370910645,-0.0802777777777778
"133",42930,111.568412780762,-0.075
"134",42961,111.85262298584,-0.0663888888888889
"135",42980,111.052619934082,-0.0611111111111111
"136",43011,109.673675537109,-0.0525
"137",43030,108.147354125977,-0.0472222222222222
"138",43062,107.273681640625,-0.0383333333333333
"139",43081,106.084205627441,-0.0330555555555556
"140",43112,104.821060180664,-0.0244444444444444
"141",43131,103.705276489258,-0.0191666666666667
"142",43162,102.915802001953,-0.0105555555555556
"143",43181,102.305274963379,-0.00527777777777778
"144",43212,102.284217834473,0.00333333333333333
"145",43232,102.27368927002,0.00888888888888889
"146",43270,102.305274963379,0.0194444444444444
"147",43289,102.789482116699,0.0247222222222222
