"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cc.025","cc.975","cod.me","sat"
"11",78.1309329860168,7.25415356832013,0.998663788673039,4963.24504060026,-32.5749995656941,13.0000185013876,40.0615576800756,0,-24.9,60.2836344948093,-37.0964959632605,-27.6697163764387,7.18,18.14,28.5304368535624,48.2185336751618,4130,5762,0.995541187775138,1,10.12,"VIIRS"
"12",77.6445422637418,7.35003378637526,0.9895924520961,5512.25853516195,-35.7804483699369,12.4366511039782,36.1505710032774,1,-23.9,59.810273319716,-38.4137059055269,-35.4380810359493,8.69,13.76,28.8059784998568,43.3312000844564,5423,5985,0.972212616483293,1,10.74,"VIIRS"
"13",77.7896700251953,7.32046927549082,0.984157961198485,4727.20502812529,-31.6158579271606,22.5813121340834,56.8030530259339,-1,-24.2,62.2502433704512,-39.3182958658784,-25.0154589927755,7.22,29.68,22.8666266912206,70.1267364515682,3594.5,6120,0.92876935899901,1,11.59,"VIIRS"
"14",77.3111738552106,7.42435394822498,0.96051299358758,4915.50455619308,-32.7106674902879,18.0802924963438,45.6688999236063,0,-23.2,61.8909776127798,-38.7469758909195,-26.4635964293033,6.97,22.9,2.29307431073049,54.9591973095938,3865,5991,0.798115746971736,1,8.86,"VIIRS"
"15",76.8399045010043,7.5512503893667,0.979226519337017,5817.74099447514,-37.9072547719236,7.67245745856354,17.5167345118222,1,-22.2,61.5422861878453,-39.3817758630961,-37.5091159451753,5.85,8.58,1.47848250150541,33.269804090114,5741,6099,0.853306388557763,1,7.09,"VIIRS"
"16",79.6582572083136,7.41235222711991,0.359005094396164,7116.4108558242,-44.2514119855673,2.33502447307945,NA,1,-28.1,65.8192727999201,-46.1027205685153,-42.5557757239789,0,5.16,NA,NA,6865,7382,0,0.986289965518629,0,"VIIRS"
"17",79.7882120391909,7.45318375321088,0.112027013606118,6790.803966329,-42.3461656154603,0.600727976958864,NA,-1,-28.4,62.9113179064455,-44.4443056412041,-40.9925807924941,0,0,NA,NA,6602,7129,0,0.328799454648351,0,"VIIRS"
"18",79.34186472185,7.27897164413308,0.587770460959548,6464.44083987511,-40.3532155500171,4.30745343367843,1.04985812669676,0,-27.4,62.5385333960489,-41.6987957615405,-39.0564408773556,0,7.02,0.885654008489511,1.18580980429978,6266,6694,0,1,3.75,"VIIRS"
"19",78.8694526927125,7.18336041814543,0.982673489541251,6174.78229643594,-38.8644721569789,7.51294550677799,1.04985812669676,1,-26.4,62.137915432265,-40.2863658234477,-37.0726909643039,5.26,8.78,0.885654008489511,1.18580980429978,5898,6434,0.95636025998143,1,6.81,"VIIRS"
"20",79.0146339707798,7.19124267304265,0.955858846674044,5974.38054838315,-37.762519812711,5.79581581212345,NA,-1,-26.7,60.9507574080905,-39.2548158686608,-36.1522310046479,4.85,6.86,NA,NA,5685,6239,0.911483183792957,1,5.89,"VIIRS"
"21",78.5270198099714,7.19439949022455,0.998850970929565,5485.83902102725,-35.2676732030185,7.42355509594393,35.9447036626902,0,-25.7,60.4643352866828,-36.9774709684774,-35.0095910547301,5.65,8.23,26.9138000972751,44.0273046658934,5410,5819.5,0.991379310344828,1,6.68,"VIIRS"
"22",78.033429282925,7.27310091322604,0.990334013532381,5621.92675330252,-36.3001691916985,9.23246160455376,36.52996582104,1,-24.7,59.970313607561,-38.4771859027445,-35.5253660321235,6.56,11.215,27.2715151521342,44.7096762079757,5487,6003,0.947342320211263,1,8.74,"VIIRS"
"23",78.1796848375628,7.24467989586718,0.988912842623961,4214.77556205729,-28.5158911029788,14.2018316907915,42.5022312734084,-1,-25,61.141878657222,-35.4301460362971,-22.6151215979829,6.29,20.58,26.2428347071979,53.7868078309741,3153,5465,0.937112488928255,1,11.93,"VIIRS"
"24",77.6921663221034,7.33941662039673,0.996424847311187,4754.06226724261,-31.6138917007337,14.6241464322955,42.99762609909,0,-24,60.7042134664085,-36.8108359757811,-25.4637864731252,8.18,20.5175,29.667226505636,51.3549507178329,3715,5676,0.978184991273996,1,10.51,"VIIRS"
"25",77.2159257384874,7.44558828018205,1,5716.03714202645,-37.0959336268264,9.40651330135195,36.8885550208554,1,-23,60.2857842709696,-38.6279508961364,-36.3823459945619,7.07,9.7,27.6694517537532,47.5692376188576,5596,5997,1,1,8.35,"VIIRS"
"26",77.3587979135722,7.41373678224645,0.268256333830104,6508.22754491018,-41.8278464145668,13.6184351713859,NA,-1,-23.3,63.868345752608,-43.0794857010245,-39.2032383709214,0,23.385,NA,NA,6115.5,6697.5,0.0487498367933151,0.758930555555556,0,"VIIRS"
"27",76.8869071556897,7.53804262571862,0,NA,NA,NA,NA,0,-22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIIRS"
"28",76.4257476135215,7.68887014605118,0,NA,NA,NA,NA,1,-21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIIRS"
